,순위,단어,품사,풀이,등급,단어 Revised
0,1195.0,가게,명,,A,가게
1,898.0,가격03,명,價格,B,가격
2,2986.0,가구03,명,家口,C,가구
3,7434.0,가구04,명,家具,B,가구
4,4964.0,가까워지다,동,,B,가까워지다
5,1695.0,가까이,부,,B,가까이
6,3560.0,가까이,명,,B,
7,648.0,가깝다,형,,A,가깝다
8,1747.0,가꾸다,동,,B,가꾸다
9,852.0,가끔,부,,A,가끔
10,5071.0,가난01,명,,C,가난
11,1716.0,가난하다,형,,B,가난하다
12,2757.0,가늘다,형,,B,가늘다
13,6942.0,가능,명,可能,C,가능
14,483.0,가능성,명,可能性,B,가능성
15,501.0,가능하다,형,可能-,B,가능하다
16,6003.0,가능해지다,동,可能-,C,가능해지다
17,25.0,가다01,동,,A,가다
18,150.0,가다01,보,,A,
19,1196.0,가득01,부,~ 차다,B,가득
20,3561.0,가득하다01,형,,B,가득하다
21,7971.0,가득히,부,,C,가득히
22,3173.0,가라앉다,동,,C,가라앉다
23,6170.0,가려지다,동,,C,가려지다
24,1956.0,가령05,부,假令,C,가령
25,9014.0,가로01,명,~와 세로,B,가로
26,5311.0,가로등,명,街路燈,C,가로등
27,4576.0,가로막다,동,,C,가로막다
28,8286.0,가로수,명,街路樹,C,가로수
29,2789.0,가루01,명,분필 ~,B,가루
30,4177.0,가르다,동,,C,가르다
31,698.0,가르치다01,동,,A,가르치다
32,2884.0,가르침,명,,C,가르침
33,2913.0,가리다02,동,시야를 ~,B,가리다
34,2305.0,가리다03,동,시비를 ~,B,가리다
35,1367.0,가리키다01,동,,B,가리키다
36,9888.0,가만,부,,C,가만
37,7158.0,가만있다,동,,C,가만있다
38,1706.0,가만히,부,,B,가만히
39,4755.0,가뭄,명,,C,가뭄
40,1530.0,가방01,명,~을 메다,A,가방
41,1189.0,가볍다,형,,A,가볍다
42,4483.0,가사09,명,歌詞,C,가사
43,3784.0,가상05,명,假想,C,가상
44,2000.0,가수11,명,歌手,A,가수
45,2053.0,가스,명,gas,B,가스
46,384.0,가슴01,명,,A,가슴
47,3904.0,가슴속,명,,B,가슴속
48,6526.0,가요02,명,歌謠,B,가요
49,264.0,가운데,명,,A,가운데
50,6172.0,가위01,명,기구,B,가위
51,1268.0,가을01,명,,A,가을
52,5167.0,가이드,명,guide,B,가이드
53,4397.0,가입,명,加入,C,가입
54,4484.0,가입자,명,加入者,C,가입자
55,5168.0,가입하다,동,加入-,C,가입하다
56,127.0,가장01,부,,A,가장
57,3454.0,가장07,명,家長,C,가장
58,715.0,가정06,명,家庭,B,가정
59,4398.0,가정07,명,假定,C,가정
60,6349.0,가정교사,명,家庭敎師,C,가정교사
61,3512.0,가져가다,동,,B,가져가다
62,5704.0,가져다주다,동,,B,가져다주다
63,1060.0,가져오다,동,,A,가져오다
64,409.0,가족01,명,家族,A,가족
65,5072.0,가죽01,명,,B,가죽
66,2124.0,가지01,명,~를 치다,B,가지
67,129.0,가지04,의,한 ~,B,가지
68,94.0,가지다,동,,A,가지다
69,514.0,가지다,보,,A,
70,4668.0,가짜,명,假-,B,가짜
71,550.0,가치06,명,價値,C,가치
72,3063.0,가치관,명,價値觀,C,가치관
73,8645.0,가톨릭,명,Catholic,C,가톨릭
74,3099.0,가하다01,동,加-,C,가하다
75,422.0,각01,관,各,B,각
76,751.0,각각01,부,各各,B,각각
77,4178.0,각각01,명,各各,B,
78,2885.0,각국,명,各國,B,각국
79,3213.0,각기02,부,各其,C,각기
80,5706.0,각오01,명,覺悟,C,각오
81,3785.0,각자02,명,各自,B,각자
82,3562.0,각자02,부,各自,B,
83,815.0,각종,명,各種,B,각종
84,3905.0,간01,명,음식의 ~을 보다,C,간
85,3620.0,간08,명,肝,C,간
86,335.0,간10,의,間. 서울과 부산 ~,B,간
87,4179.0,간격02,명,間隔,C,간격
88,1336.0,간단하다02,형,簡單-,B,간단하다
89,2987.0,간단히,부,簡單-,B,간단히
90,2187.0,간부05,명,幹部,C,간부
91,4577.0,간섭,명,干涉,C,간섭
92,8290.0,간식02,명,間食,B,간식
93,4034.0,간신히,부,艱辛-,C,간신히
94,3100.0,간장01,명,-醬,B,간장
95,4756.0,간접,명,間接,C,간접
96,6735.0,간접적,명,間接的,C,간접적
97,3906.0,간판02,명,看板,C,간판
98,7160.0,간편하다,형,簡便-,C,간편하다
99,7977.0,간호,명,看護,C,간호
100,7438.0,간호사,명,看護師,A,간호사
101,3786.0,간혹,부,間或,C,간혹
102,3621.0,갇히다,동,,C,갇히다
103,6736.0,갈다01,동,바꾸다,B,갈다
104,2401.0,갈다02,동,문지르다,B,갈다
105,1010.0,갈등,명,葛藤,C,갈등
106,12246.0,갈비01,명,,A,갈비
107,38470.0,갈비탕,명,-湯,B,갈비탕
108,3342.0,갈색,명,褐色,B,갈색
109,3723.0,갈수록,부,,C,갈수록
110,4035.0,갈아입다,동,,B,갈아입다
111,9018.0,갈아타다,동,,B,갈아타다
112,4578.0,갈증,명,渴症,C,갈증
113,8293.0,감01,명,과일,B,감
114,5312.0,감12,명,感,C,감
115,1240.0,감각02,명,感覺,C,감각
116,3343.0,감기04,명,感氣,A,감기
117,2125.0,감다01,동,눈을 ~,B,감다
118,4036.0,감다03,동,실을 ~,C,감다
119,671.0,감독02,명,監督,C,감독
120,2432.0,감동02,명,感動,B,감동
121,7161.0,감동적,명,感動的,C,감동적
122,6352.0,감사08,명,感謝,A,감사
123,3847.0,감사하다05,형,感謝-,A,감사하다
124,4966.0,감사하다05,동,感謝-,A,
125,6530.0,감상05,명,鑑賞,B,감상
126,4321.0,감상하다04,동,鑑賞-,B,감상하다
127,5170.0,감소01,명,減少,C,감소
128,9431.0,감소되다,동,減少-,C,감소되다
129,4485.0,감소하다,동,減少-,C,감소하다
130,5445.0,감수성02,명,感受性,C,감수성
131,3174.0,감싸다,동,,C,감싸다
132,3385.0,감옥02,명,監獄,C,감옥
133,3513.0,감자01,명,,B,감자
134,846.0,감정06,명,感情,B,감정
135,9892.0,감정적01,명,感情的,C,감정적
136,2092.0,감추다,동,,C,감추다
137,3563.0,감히,부,敢-,C,감히
138,7979.0,갑05,명,匣,C,갑
139,475.0,갑자기,부,,A,갑자기
140,4580.0,갑작스럽다,형,,C,갑작스럽다
141,788.0,값,명,,A,값
142,6946.0,값싸다,형,,C,값싸다
143,1812.0,강01,명,江,A,강
144,3344.0,강남,명,江南,C,강남
145,8651.0,강당,명,講堂,B,강당
146,4669.0,강도05,명,强度,C,강도
147,4967.0,강도06,명,强盜,B,강도
148,1738.0,강력하다,형,强力-,C,강력하다
149,4757.0,강력히,부,强力-,C,강력히
150,3514.0,강렬하다02,형,强烈-,C,강렬하다
151,2988.0,강물,명,江-,B,강물
152,9433.0,강변01,명,江邊,C,강변
153,9894.0,강북,명,江北,C,강북
154,5577.0,강사04,명,講師,C,강사
155,5578.0,강수량,명,降水量,C,강수량
156,14028.0,강아지,명,,B,강아지
157,3564.0,강요하다,동,强要-,C,강요하다
158,,강원도,고,江原道,B,강원도
159,3101.0,강의02,명,講義,C,강의
160,10371.0,강의하다02,동,講義-,C,강의하다
161,2275.0,강제01,명,强制,B,강제
162,7683.0,강조02,명,强調,C,강조
163,631.0,강조하다,동,强調-,B,강조하다
164,584.0,강하다02,형,强-,B,강하다
165,2151.0,강화하다02,동,强化-,C,강화하다
166,3725.0,갖가지,명,,C,갖가지
167,190.0,갖다01,동,가지다,B,갖다
168,3515.0,갖다01,보,가지다,B,
169,784.0,갖추다,동,,C,갖추다
170,22.0,같다,형,,A,같다
171,203.0,같이,부,,A,같이
172,4038.0,같이하다,동,,C,같이하다
173,3386.0,갚다,동,,C,갚다
174,1569.0,개03,명,동물,A,개
175,85.0,개10,의,個,A,개
176,5313.0,개개인,명,個個人,C,개개인
177,4486.0,개구리,명,,B,개구리
178,2914.0,개국01,의,個國,C,개국
179,7440.0,개나리01,명,,B,개나리
180,8296.0,개다01,동,날이 ~,C,개다
181,3565.0,개미03,명,곤충,C,개미
182,2565.0,개발되다,동,開發-,C,개발되다
183,1269.0,개발하다,동,開發-,B,개발하다
184,1296.0,개방04,명,開放,C,개방
185,5708.0,개방되다,동,開放-,C,개방되다
186,3787.0,개방하다03,동,開放-,C,개방하다
187,4322.0,개별,명,個別,C,개별
188,1562.0,개선01,명,改善,C,개선
189,4758.0,개선되다01,동,改善-,C,개선되다
190,3137.0,개선하다01,동,改善-,C,개선하다
191,1788.0,개성03,명,個性,C,개성
192,799.0,개월,의,個月,A,개월
193,562.0,개인02,명,個人,B,개인
194,2758.0,개인적,명,個人的,B,개인적
195,2490.0,객관적,명,客觀的,C,객관적
196,1228.0,걔,불,그 아이,B,걔
197,3102.0,거01,대,것,A,거
198,20.0,거01,의,것,A,
199,293.0,거기01,대,,A,거기
200,2989.0,거꾸로,부,,C,거꾸로
201,1958.0,거대하다,형,巨大-,C,거대하다
202,1579.0,거두다,동,,C,거두다
203,5447.0,거들다01,동,,C,거들다
204,3306.0,거듭,부,,C,거듭
205,1258.0,거리01,명,길~,A,거리
206,9901.0,거리02,의,반찬~,B,거리
207,1148.0,거리08,명,距離,C,거리
208,1864.0,거부하다,동,拒否-,C,거부하다
209,2675.0,거실02,명,居室,B,거실
210,3967.0,거액,명,巨額,C,거액
211,2109.0,거울01,명,,A,거울
212,306.0,거의01,부,,B,거의
213,3726.0,거절하다01,동,拒絶-,C,거절하다
214,4039.0,거짓,명,,B,거짓
215,2246.0,거짓말,명,,B,거짓말
216,819.0,거치다01,동,,C,거치다
217,2306.0,거칠다,형,,C,거칠다
218,4040.0,거품,명,,C,거품
219,1129.0,걱정,명,,A,걱정
220,10384.0,걱정되다,동,,B,걱정되다
221,5850.0,걱정스럽다,형,,B,걱정스럽다
222,2491.0,걱정하다,동,,A,걱정하다
223,1707.0,건04,의,件,C,건
224,647.0,건강03,명,健康,A,건강
225,1297.0,건강하다02,형,健康-,A,건강하다
226,7984.0,건너01,명,,C,건너
227,4255.0,건너가다,동,,B,건너가다
228,2276.0,건너다,동,,B,건너다
229,7167.0,건너오다,동,,B,건너오다
230,5448.0,건너편,명,-便,B,건너편
231,9030.0,건넌방,명,-房,C,건넌방
232,4760.0,건네다,동,,C,건네다
233,4112.0,건네주다,동,,C,건네주다
234,3907.0,건드리다,동,,C,건드리다
235,649.0,건물03,명,建物,A,건물
236,790.0,건설,명,建設,C,건설
237,5851.0,건설되다,동,建設-,C,건설되다
238,2263.0,건설하다,동,建設-,C,건설하다
239,3388.0,건전하다,형,健全-,C,건전하다
240,3849.0,건조04,명,乾燥,C,건조
241,8659.0,건조하다02,형,乾燥-,C,건조하다
242,2790.0,건지다,동,,B,건지다
243,2616.0,건축01,명,建築,B,건축
244,8660.0,걷기,명,,C,걷기
245,546.0,걷다02,동,느릿느릿 ~,A,걷다
246,5314.0,걷다03,동,소매를 ~,C,걷다
247,7985.0,걷다04,동,빨래를 ~,C,걷다
248,716.0,걸다02,동,옷을 ~,A,걸다
249,380.0,걸리다01,동,'걸다'의 피동사,B,걸리다
250,1970.0,걸어가다,동,,A,걸어가다
251,4041.0,걸어오다01,동,집까지 ~,A,걸어오다
252,1647.0,걸음,명,,B,걸음
253,837.0,걸치다,동,,C,걸치다
254,1585.0,검다02,형,색깔이 ~,B,검다
255,3025.0,검사02,명,檢事,C,검사
256,1512.0,검사03,명,檢査,B,검사
257,3064.0,검은색,명,-色,A,검은색
